school_name,city_state,district,rank_state_elementary,grade_level,enrollment,student_teacher_ratio,description,source_page,source_raw_school_name
Louise Cabaniss Academy,"Grand Prairie, TX",Mansfield Independent School District,2495.0,PK-4,486,14:1,"Louise Cabaniss Academy is a  school located in Grand Prairie, TX, which is in a large suburb setting.  The student population of Louise Cabaniss Academy is 486, and the school serves PK through 4 At Louise...",250,Louise CabanissAcademy
Elrod Elementary,"San Antonio, TX",Northside Independent School District,2496.0,PK-5,339,14:1,"Elrod Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Elrod Elementary is 339, and the school serves PK through 5 At Elrod Elementary, 52%...",250,ElrodElementary
Silver Creek Elementary,"Azle, TX",Azle Independent School District,2497.0,PK-4,421,13:1,"Silver Creek Elementary is a  school located in Azle, TX, which is in a fringe rural setting.  The student population of Silver Creek Elementary is 421, and the school serves PK through 4 At Silver Creek...",250,Silver CreekElementary
Overton Elementary,"Lubbock, TX",Lubbock Independent School District,2498.0,PK-5,255,11:1,"Overton Elementary is a  school located in Lubbock, TX, which is in a large city setting.  The student population of Overton Elementary is 255, and the school serves PK through 5 At Overton Elementary,...",250,OvertonElementary
Lamar Elementary,"San Antonio, TX",San Antonio Independent School District,2499.0,PK-6,315,15:1,"Lamar Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Lamar Elementary is 315, and the school serves PK through 6 At Lamar Elementary, 42%...",250,LamarElementary
Dr Linda Henrie Elementary,"Dallas, TX",Mesquite Independent School District,2500.0,PK-5,856,14:1,"Dr Linda Henrie Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Dr Linda Henrie Elementary is 856, and the school serves PK through 5 At Dr Linda...",250,Dr Linda HenrieElementary
Meadows Elementary,"Fort Cavazos, TX",Killeen Independent School District,2501.0,PK-5,864,16:1,"Meadows Elementary is a  school located in Fort Cavazos, TX, which is in a large suburb setting.  The student population of Meadows Elementary is 864, and the school serves PK through 5 At Meadows Elementary,...",251,MeadowsElementary
Curtis Elementary,"Beaumont, TX",Beaumont Independent School District,2502.0,K-5,555,18:1,"Curtis Elementary is a  school located in Beaumont, TX, which is in a mid-size city setting.  The student population of Curtis Elementary is 555, and the school serves K through 5 At Curtis Elementary,...",251,CurtisElementary
Amos Elementary,"Arlington, TX",Arlington Independent School District,2503.0,PK-6,364,13:1,"Amos Elementary is a  school located in Arlington, TX, which is in a large city setting.  The student population of Amos Elementary is 364, and the school serves PK through 6 At Amos Elementary, 42% scored...",251,AmosElementary
Camelot Elementary,"San Antonio, TX",North East Independent School District,2504.0,PK-5,493,11:1,"Camelot Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Camelot Elementary is 493, and the school serves PK through 5 At Camelot Elementary,...",251,CamelotElementary
Banuelos Elementary,"Baytown, TX",,2505.0,PK-5,746,16:1,"Banuelos Elementary is a  school located in Baytown, TX, which is in a small city setting.  The student population of Banuelos Elementary is 746, and the school serves PK through 5 At Banuelos Elementary,...",251,BanuelosElementary
Creek View Elementary,"College Station, TX",College Station Independent School District,2506.0,PK-4,458,13:1,"Creek View Elementary is a  school located in College Station, TX, which is in a mid-size city setting.  The student population of Creek View Elementary is 458, and the school serves PK through 4 At Creek...",251,Creek ViewElementary
Moore Elementary,"Corpus Christi, TX",Corpus Christi Independent School District,2507.0,PK-5,511,16:1,"Moore Elementary is a  school located in Corpus Christi, TX, which is in a large city setting.  The student population of Moore Elementary is 511, and the school serves PK through 5 At Moore Elementary,...",251,MooreElementary
Slack Elementary,"Lufkin, TX",Lufkin Independent School District,2508.0,2-5,481,13:1,"Slack Elementary is a  school located in Lufkin, TX, which is in a remote town setting.  The student population of Slack Elementary is 481, and the school serves 2 through 5 At Slack Elementary, 35% scored...",251,SlackElementary
Briargrove Elementary,"Houston, TX",Houston Independent School District,2509.0,PK-5,881,20:1,"Briargrove Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Briargrove Elementary is 881, and the school serves PK through 5 At Briargrove Elementary,...",251,BriargroveElementary
Wilson Elementary,"Coppell, TX",Coppell Independent School District,2510.0,PK-5,491,12:1,"Wilson Elementary is a  school located in Coppell, TX, which is in a large suburb setting.  The student population of Wilson Elementary is 491, and the school serves PK through 5 At Wilson Elementary,...",251,WilsonElementary
Era School,"Era, TX",Era Independent School District,2511.0,PK-12,509,13:1,"Era School is a  school located in Era, TX, which is in a distant rural setting.  The student population of Era School is 509, and the school serves PK through 12 At Era School, 54% scored at or above...",252,EraSchool
Wallace Elementary,"Dallas, TX",Richardson Independent School District,2512.0,PK-6,597,15:1,"Wallace Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Wallace Elementary is 597, and the school serves PK through 6 At Wallace Elementary,...",252,WallaceElementary
Julian C Gallardo Elementary,"San Antonio, TX",Southside Independent School District,2513.0,1-5,589,16:1,"Julian C Gallardo Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Julian C Gallardo Elementary is 589, and the school serves 1 through 5...",252,Julian C GallardoElementary
Langley Elementary,"San Antonio, TX",Northside Independent School District,2514.0,PK-5,658,14:1,"Langley Elementary is a  school located in San Antonio, TX, which is in a fringe rural setting.  The student population of Langley Elementary is 658, and the school serves PK through 5 At Langley Elementary,...",252,LangleyElementary
Milam Elementary,"Conroe, TX",Conroe Independent School District,2515.0,PK-4,556,13:1,"Milam Elementary is a  school located in Conroe, TX, which is in a fringe rural setting.  The student population of Milam Elementary is 556, and the school serves PK through 4 At Milam Elementary, 52%...",252,MilamElementary
Hood-Case Elementary,"Alvin, TX",Alvin Independent School District,2516.0,PK-5,688,15:1,"Hood-Case Elementary is a  school located in Alvin, TX, which is in a large suburb setting.  The student population of Hood-Case Elementary is 688, and the school serves PK through 5 At Hood-Case Elementary,...",252,Hood-CaseElementary
Sheridan Elementary,"Katy, TX",Cypress-Fairbanks Independent School District,2517.0,PK-5,947,15:1,"Sheridan Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Sheridan Elementary is 947, and the school serves PK through 5 At Sheridan Elementary,...",252,SheridanElementary
Park Hills Elementary,"Amarillo, TX",Amarillo Independent School District,2518.0,PK-5,229,12:1,"Park Hills Elementary is a  school located in Amarillo, TX, which is in a mid-size city setting.  The student population of Park Hills Elementary is 229, and the school serves PK through 5 At Park Hills...",252,Park HillsElementary
David G Sanchez Elementary,"La Feria, TX",La Feria Independent School District,2519.0,PK-4,352,15:1,"David G Sanchez Elementary is a  school located in La Feria, TX, which is in a fringe rural setting.  The student population of David G Sanchez Elementary is 352, and the school serves PK through 4 At...",252,David G SanchezElementary
Wright Elementary,"Weatherford, TX",Weatherford Independent School District,2520.0,PK-5,545,13:1,"Wright Elementary is a  school located in Weatherford, TX, which is in a fringe town setting.  The student population of Wright Elementary is 545, and the school serves PK through 5 At Wright Elementary,...",252,WrightElementary
Mcghee Elementary,"Channelview, TX",Channelview Independent School District,2521.0,K-5,781,14:1,"Mcghee Elementary is a  school located in Channelview, TX, which is in a large suburb setting.  The student population of Mcghee Elementary is 781, and the school serves K through 5 At Mcghee Elementary,...",253,McgheeElementary
John W and Margie Stipes Elementary,"Irving, TX",Irving Independent School District,2522.0,PK-5,607,15:1,"John W and Margie Stipes Elementary is a  school located in Irving, TX, which is in a large city setting.  The student population of John W and Margie Stipes Elementary is 607, and the school serves PK...",253,John W and Margie StipesElementary
Andre Elementary,"Cypress, TX",Cypress-Fairbanks Independent School District,2523.0,PK-5,"1,112",18:1,"Andre Elementary is a  school located in Cypress, TX, which is in a large suburb setting.  The student population of Andre Elementary is 1112, and the school serves PK through 5 At Andre Elementary, 37%...",253,AndreElementary
Frazier Elementary,"Houston, TX",Cypress-Fairbanks Independent School District,2524.0,PK-5,659,13:1,"Frazier Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Frazier Elementary is 659, and the school serves PK through 5 At Frazier Elementary,...",253,FrazierElementary
H R Moye Elementary,"El Paso, TX",El Paso Independent School District,2525.0,PK-5,279,11:1,"H R Moye Elementary is a  school located in El Paso, TX, which is in a large city setting.  The student population of H R Moye Elementary is 279, and the school serves PK through 5 At H R Moye Elementary,...",253,H R MoyeElementary
Navarro Int,"Seguin, TX",Navarro Independent School District,2526.0,3-5,546,13:1,"Navarro Int is a  school located in Seguin, TX, which is in a fringe rural setting.  The student population of Navarro Int is 546, and the school serves 3 through 5 At Navarro Int, 52% scored at or above...",253,NavarroInt
Dr Maria Palmira Mendiola Elementary,"Mission, TX",La Joya Independent School District,2527.0,PK-5,601,17:1,"Dr Maria Palmira Mendiola Elementary is a  school located in Mission, TX, which is in a fringe rural setting.  The student population of Dr Maria Palmira Mendiola Elementary is 601, and the school serves...",253,Dr Maria Palmira MendiolaElementary
